case,step,control_phase,subdivision_level,displacement,displacement_um,reaction_y,fracture_energy,regularised_crack_length,relative_crack_change_percent,path_increment,control_residual_relative,mechanical_residual_relative,energy_balance_relative
Homogeneous hybrid path,0,displacement,0,0.0,0.0,0.0,0.0005014659492344,0.0244103016154303,0.0,0.0,0.0,,0.0
Homogeneous hybrid path,1,displacement,0,2.0000000000000003e-06,0.0020000000000000005,0.8551237283709072,0.0005014659739571,0.0244103028188421,4.929934171745862e-06,2.0000000000000003e-06,0.0,,2.8910446849317594e-05
Homogeneous hybrid path,2,displacement,0,4.000000000000001e-06,0.004000000000000001,1.7099493664824357,0.0005014663466792,0.0244103209622033,7.925659135396612e-05,2.0000000000000003e-06,0.0,,2.9048533921116568e-05
Homogeneous hybrid path,3,displacement,0,6.000000000000001e-06,0.006000000000000001,2.564174365993856,0.0005014679717586,0.0244104000676276,0.0004033223302683932,2.0000000000000003e-06,0.0,,2.925013633388871e-05
Homogeneous hybrid path,4,displacement,0,8.000000000000001e-06,0.008000000000000002,3.4174864551446973,0.0005014723883569,0.0244106150582894,0.0012840597549345144,2.0000000000000003e-06,0.0,,2.9508255174022245e-05
Homogeneous hybrid path,5,displacement,0,1.0000000000000004e-05,0.010000000000000004,4.269556894670549,0.0005014818278194,0.0244110745513605,0.0031664333459623622,2.000000000000001e-06,0.0,,2.987932236251821e-05
Homogeneous hybrid path,6,displacement,0,1.2000000000000002e-05,0.012000000000000002,5.120036923896903,0.0005014992800644,0.0244119240897288,0.006646678619791871,1.9999999999999995e-06,0.0,,3.036489105554364e-05
Homogeneous hybrid path,7,displacement,0,1.4e-05,0.014,5.968546026295599,0.0005015286235441,0.0244133524682454,0.01249821842910882,1.9999999999999995e-06,0.0,,3.094935790676874e-05
Homogeneous hybrid path,8,displacement,0,1.6000000000000003e-05,0.016000000000000004,6.814660700066971,0.0005015748024756,0.0244156003609446,0.02170700550029642,2.000000000000001e-06,0.0,,3.168117192680009e-05
Homogeneous hybrid path,9,displacement,0,1.8000000000000004e-05,0.018000000000000002,7.657905600424694,0.0005016440248806,0.0244189699611878,0.03551101454650976,2.000000000000001e-06,0.0,,3.2583981101529286e-05
Homogeneous hybrid path,10,displacement,0,2.0000000000000005e-05,0.020000000000000004,8.497724359441138,0.0005017441824905,0.0244238454217703,0.05548397784416632,2.000000000000001e-06,0.0,,3.369130856990748e-05
Homogeneous hybrid path,11,displacement,0,2.2000000000000003e-05,0.022000000000000002,9.333459873158056,0.0005018852927709,0.0244307143717143,0.08362353159576792,1.999999999999998e-06,0.0,,3.5052068823428153e-05
Homogeneous hybrid path,12,displacement,0,2.4000000000000004e-05,0.024000000000000004,10.164300628453738,0.000502080395112,0.0244402115409619,0.12252993020247696,2.000000000000001e-06,0.0,,3.674319212839169e-05
Homogeneous hybrid path,13,displacement,0,2.6000000000000005e-05,0.026000000000000006,10.989222622458636,0.0005023467170218,0.0244531755281591,0.17563860293188482,2.000000000000001e-06,0.0,,3.888539443738643e-05
Homogeneous hybrid path,14,displacement,0,2.8000000000000003e-05,0.028000000000000004,11.806871817178518,0.0005027078465119,0.0244707545478068,0.24765336098218374,1.999999999999998e-06,0.0,,4.164699350467152e-05
Homogeneous hybrid path,15,fracture_energy,0,3.383439904444193e-05,0.03383439904444193,14.128355039511016,0.0005047078465125,0.02456811031707,0.6464840300864847,2.0000000000000486e-06,3.1279232676206043e-10,2.60625646553366e-13,0.0002670753595093
Homogeneous hybrid path,16,fracture_energy,1,3.5417497663876976e-05,0.03541749766387697,14.730458343781654,0.0005057078465149,0.0246167882018008,0.8458993650450216,1.0000000000000243e-06,3.0218882970419716e-09,1.269779613439411e-09,0.0002539124186416
Homogeneous hybrid path,17,fracture_energy,2,3.596143571297833e-05,0.03596143571297833,14.92848362335774,0.0005062078465143,0.0246411271440824,0.9456070321810024,4.999999999999579e-07,4.896907561844256e-09,1.51914117144252e-09,0.0002484332543433
Homogeneous hybrid path,18,fracture_energy,4,3.605721567796011e-05,0.03605721567796011,14.961292959334486,0.0005063328465126,0.0246472118795736,0.9705339486405387,1.250000000000166e-07,5.8026501408018145e-09,5.1499395907549555e-11,0.0002471767948302
Homogeneous hybrid path,19,fracture_energy,10,3.6058564599985626e-05,0.036058564599985625,14.961744335582196,0.0005063347996376,0.024647306953565,0.9709234317075496,1.9531250000561634e-09,3.4350313137576685e-07,1.4693229298116983e-10,0.0002471586351436
EBSD graph hybrid path,0,displacement,0,0.0,0.0,0.0,0.0003891175163252,0.024433868903734,0.0,0.0,0.0,,0.0
EBSD graph hybrid path,1,displacement,0,2.0000000000000003e-06,0.0020000000000000005,0.8550368460090614,0.0003891175504803,0.0244338885322273,8.033313668122434e-05,2.0000000000000003e-06,0.0,,3.9944163859378834e-05
EBSD graph hybrid path,2,displacement,0,4.000000000000001e-06,0.004000000000000001,1.7096609336939743,0.000389118066648,0.024433978468689,0.0004484142705059415,2.0000000000000003e-06,0.0,,4.022504114451225e-05
EBSD graph hybrid path,3,displacement,0,6.000000000000001e-06,0.006000000000000001,2.5634503536082214,0.0003891203237547,0.0244342311872788,0.0014827105205067843,2.0000000000000003e-06,0.0,,4.063056608287157e-05
EBSD graph hybrid path,4,displacement,0,8.000000000000001e-06,0.008000000000000002,3.4159615685631843,0.0003891264916164,0.0244348082057689,0.0038442623990623944,2.0000000000000003e-06,0.0,,4.1229989003263984e-05
